1	0.704	0.764	0.060	0.18
2	1.120	1.180	0.060	0.23
3	1.464	1.524	0.060	0.04
4	2.164	2.224	0.060	0.06
5	5.566	5.626	0.060	0.14
6	7.296	7.328	0.032	0.05
7	7.616	7.676	0.060	0.07
8	8.084	8.144	0.060	0.28
9	8.512	8.572	0.060	0.16
10	10.610	10.670	0.060	0.04
11	10.848	10.896	0.048	0.32
12	11.726	11.786	0.060	0.11
13	12.550	12.610	0.060	0.34
